name,origin,product_id,kind,alcohol_tolerance,flocculation,alpha,use,category,color,ppg
Acidulated Malt,Germany,,Acidulated malt (Grain),,,,,Fermentables,3.4,27
Acerola,,,Fruit,,,,,Fermentables,0,1.5
Abbey Malt,Germany,,Base malt (Grain),,,,,Fermentables,17,33
Ale Malt,Ireland,,Base malt (Grain),,,,,Fermentables,3,37
Amber,United Kingdom,,Base malt (Grain),,,,,Fermentables,27,32
Apple,,,Fruit,,,,,Fermentables,0,5.6
Apricot,,,Fruit,,,,,Fermentables,0,4.05
Apricot (dried),,,Fruit,,,,,Fermentables,0,17.9
Aromatic Malt,America,,Base malt (Grain),,,,,Fermentables,20,35
Ashbourne Mild,America,,Base malt (Grain),,,,,Fermentables,5.3,30
Bohemian Pilsner,Germany,,Base malt (Grain),,,,,Fermentables,1.9,38
Banana,,,Fruit,,,,,Fermentables,0,7.65
Belgian Candi Sugar - Amber/Brown (60L),,,Sugar,,,,,Fermentables,60,38
Belgian Candi Sugar - Clear/Blond (0L),,,Sugar,,,,,Fermentables,0,38
Belgian Candi Sugar - Dark (275L),,,Sugar,,,,,Fermentables,275,38
Belgian Candi Syrup - Amber (40L),,,Sugar,,,,,Fermentables,40,32
Belgian Candi Syrup - Clear (0L),,,Sugar,,,,,Fermentables,0,32
Belgian Candi Syrup - D-180,,,Sugar,,,,,Fermentables,180,32
Belgian Candi Syrup - D-45,,,Sugar,,,,,Fermentables,45,32
Belgian Candi Syrup - D-90,,,Sugar,,,,,Fermentables,90,32
Belgian Candi Syrup - D2 (160L),,,Sugar,,,,,Fermentables,160,32
Belgian Candi Syrup - Dark (80L),,,Sugar,,,,,Fermentables,80,32
Bonlander Munich,America,,Base malt (Grain),,,,,Fermentables,10,36
Dark Munich,Germany,,Base malt (Grain),,,,,Fermentables,10,36
Dark Wheat,Germany,,Base malt (Grain),,,,,Fermentables,6.5,39
Distillers Malt,Ireland,,Base malt (Grain),,,,,Fermentables,2,37
Enzyme Malt,Finland,,Base malt (Grain),,,,,Fermentables,0,35
Blackberry,,,Fruit,,,,,Fermentables,0,3.6
ESB Malt,Canadian,,Base malt (Grain),,,,,Fermentables,3.5,36
Blueberry,,,Fruit,,,,,Fermentables,0,4.95
Floor-Malted Bohemian Pilsner,Germany,,Base malt (Grain),,,,,Fermentables,1.8,38
Floor-Malted Bohemian Pilsner Dk,Germany,,Base malt (Grain),,,,,Fermentables,6.5,38
Boysenberry,,,Fruit,,,,,Fermentables,0,2.5
Floor-Malted Bohemian Wheat,Germany,,Base malt (Grain),,,,,Fermentables,2,38
Brown Rice Syrup - Gluten Free,,,Raw,,,,,Fermentables,2,44
Brown Sugar,,,Sugar,,,,,Fermentables,15,45
Golden Promise,United Kingdom,,Base malt (Grain),,,,,Fermentables,3,37
Cane Sugar,,,Sugar,,,,,Fermentables,0,46
Cantaloupe,,,Fruit,,,,,Fermentables,0,3.4
Halcyon,United Kingdom,,Base malt (Grain),,,,,Fermentables,2,36
Honey Malt,Canadian,,Base malt (Grain),,,,,Fermentables,25,37
Kölsch,Germany,,Base malt (Grain),,,,,Fermentables,4.4,37
Lager,United Kingdom,,Base malt (Grain),,,,,Fermentables,1.4,38
Lager Malt,Ireland,,Base malt (Grain),,,,,Fermentables,2,37
Malted Naked Oats,United Kingdom,,Base malt (Grain),,,,,Fermentables,1.3,33
Maris Otter Pale,United Kingdom,,Base malt (Grain),,,,,Fermentables,3.75,38
Mild,United Kingdom,,Base malt (Grain),,,,,Fermentables,3,37
Munich,Belgium,,Base malt (Grain),,,,,Fermentables,6,38
Munich,United Kingdom,,Base malt (Grain),,,,,Fermentables,6,37
Munich - 60L,America,,Base malt (Grain),,,,,Fermentables,60,33
Munich - Dark 20L,America,,Base malt (Grain),,,,,Fermentables,20,33
Munich - Light 10L,America,,Base malt (Grain),,,,,Fermentables,10,33
Munich Dark,Canadian,,Base malt (Grain),,,,,Fermentables,32,34
Munich Dark,Germany,,Base malt (Grain),,,,,Fermentables,15.5,37
Munich Light,Canadian,,Base malt (Grain),,,,,Fermentables,10,34
Munich Light,Germany,,Base malt (Grain),,,,,Fermentables,6,37
Munich Malt,Finland,,Base malt (Grain),,,,,Fermentables,7,36
Oat Malt,United Kingdom,,Base malt (Grain),,,,,Fermentables,2,28
Carambola,,,Fruit,,,,,Fermentables,0,1.95
Optic,United Kingdom,,Base malt (Grain),,,,,Fermentables,2.1,38
Organic Pilsner Malt,Finland,,Base malt (Grain),,,,,Fermentables,2,36
Pale 2-Row,America,,Base malt (Grain),,,,,Fermentables,1.8,37
Pale 2-Row,Canadian,,Base malt (Grain),,,,,Fermentables,1.75,36
Pale 2-Row,United Kingdom,,Base malt (Grain),,,,,Fermentables,2.5,38
Pale 2-Row - Toasted,America,,Base malt (Grain),,,,,Fermentables,30,33
Pale 6-Row,America,,Base malt (Grain),,,,,Fermentables,1.8,35
Pale Ale,America,,Base malt (Grain),,,,,Fermentables,3.5,37
Pale Ale,Belgium,,Base malt (Grain),,,,,Fermentables,3.4,38
Pale Ale,Germany,,Base malt (Grain),,,,,Fermentables,2.3,39
Pale Ale Malt,Finland,,Base malt (Grain),,,,,Fermentables,2,36
Pale Wheat,Canadian,,Base malt (Grain),,,,,Fermentables,2,36
Pale Wheat,Germany,,Base malt (Grain),,,,,Fermentables,1.5,39
Pearl,United Kingdom,,Base malt (Grain),,,,,Fermentables,2.1,37
Peated Malt,United Kingdom,,Base malt (Grain),,,,,Fermentables,2.5,38
Pilsen,United Kingdom,,Base malt (Grain),,,,,Fermentables,1.8,36
Pilsner,America,,Base malt (Grain),,,,,Fermentables,1.8,37
Pilsner,Belgium,,Base malt (Grain),,,,,Fermentables,1.6,37
Pilsner,Germany,,Base malt (Grain),,,,,Fermentables,1.6,38
Pilsner Malt,Finland,,Base malt (Grain),,,,,Fermentables,2,37
Red Wheat,America,,Base malt (Grain),,,,,Fermentables,2.5,38
Red X,Germany,,Base malt (Grain),,,,,Fermentables,12,36
Rye,America,,Base malt (Grain),,,,,Fermentables,3.5,38
Rye,Germany,,Base malt (Grain),,,,,Fermentables,3.5,38
Carrot,,,Fruit,,,,,Fermentables,0,2
Casaba Melon,,,Fruit,,,,,Fermentables,0,1.9
Cashew,,,Fruit,,,,,Fermentables,0,3
Celery,,,Fruit,,,,,Fermentables,0,0.75
Cherry,,,Fruit,,,,,Fermentables,0,6.3
"Cherry, dark sweet",,,Fruit,,,,,Fermentables,0,6.4
"Cherry, Montmorency",,,Fruit,,,,,Fermentables,0,3.55
Smoked Malt,America,,Base malt (Grain),,,,,Fermentables,5,37
Smoked Malt,Germany,,Base malt (Grain),,,,,Fermentables,3,37
Spelt Malt,Germany,,Base malt (Grain),,,,,Fermentables,2,37
Stout Malt,Ireland,,Base malt (Grain),,,,,Fermentables,2,37
Vienna,America,,Base malt (Grain),,,,,Fermentables,4,35
Vienna,Germany,,Base malt (Grain),,,,,Fermentables,4,37
Vienna Malt,Finland,,Base malt (Grain),,,,,Fermentables,3,36
Wheat,America,,Base malt (Grain),,,,,Fermentables,1.8,38
Corn Sugar - Dextrose,,,Sugar,,,,,Fermentables,0.5,46
Corn Syrup,,,Sugar,,,,,Fermentables,0.5,37
Crabapple,,,Fruit,,,,,Fermentables,0,3.85
Cranberry,,,Fruit,,,,,Fermentables,0,1.8
Wheat,Belgium,,Base malt (Grain),,,,,Fermentables,1.8,38
Wheat,United Kingdom,,Base malt (Grain),,,,,Fermentables,2,37
Wheat Malt,Germany,,Base malt (Grain),,,,,Fermentables,2,37
Wheat Malt,Finland,,Base malt (Grain),,,,,Fermentables,2,38
White Wheat,America,,Base malt (Grain),,,,,Fermentables,2.8,40
Cara 20L,Belgium,,Crystal malt (Grain),,,,,Fermentables,22,34
Cara 45L,Belgium,,Crystal malt (Grain),,,,,Fermentables,42,34
Cara Malt,United Kingdom,,Crystal malt (Grain),,,,,Fermentables,17.5,35
Cara Pale,Finland,,Crystal malt (Grain),,,,,Fermentables,4,35
Cara Plus 100,Finland,,Crystal malt (Grain),,,,,Fermentables,38,35
Cara Plus 150,Finland,,Crystal malt (Grain),,,,,Fermentables,57,35
Cara Plus 200,Finland,,Crystal malt (Grain),,,,,Fermentables,76,35
Cara Plus 250,Finland,,Crystal malt (Grain),,,,,Fermentables,94,35
CaraAmber,Germany,,Crystal malt (Grain),,,,,Fermentables,23,34
CaraAroma,Germany,,Crystal malt (Grain),,,,,Fermentables,130,34
CaraBelge,Germany,,Crystal malt (Grain),,,,,Fermentables,13.6,33
"Currant, black",,,Fruit,,,,,Fermentables,0,4.2
"Currant, red",,,Fruit,,,,,Fermentables,0,2.7
CaraBohemian,Germany,,Crystal malt (Grain),,,,,Fermentables,75,33
CaraCrystal Wheat Malt,America,,Crystal malt (Grain),,,,,Fermentables,55,34
CaraFoam,Germany,,Crystal malt (Grain),,,,,Fermentables,1.8,37
CaraHell,Germany,,Crystal malt (Grain),,,,,Fermentables,11,34
Caramel / Crystal 10L,America,,Crystal malt (Grain),,,,,Fermentables,10,35
Caramel / Crystal 120L,America,,Crystal malt (Grain),,,,,Fermentables,120,33
Date,,,Fruit,,,,,Fermentables,0,27
Date (dried),,,Fruit,,,,,Fermentables,0,28.9
Caramel / Crystal 150L,America,,Crystal malt (Grain),,,,,Fermentables,150,33
Caramel / Crystal 15L,America,,Crystal malt (Grain),,,,,Fermentables,15,35
Caramel / Crystal 20L,America,,Crystal malt (Grain),,,,,Fermentables,20,35
Caramel / Crystal 30L,America,,Crystal malt (Grain),,,,,Fermentables,30,34
Dewberry,,,Fruit,,,,,Fermentables,0,2.5
Caramel / Crystal 40L,America,,Crystal malt (Grain),,,,,Fermentables,40,34
Caramel / Crystal 60L,America,,Crystal malt (Grain),,,,,Fermentables,60,34
Caramel / Crystal 75L,America,,Crystal malt (Grain),,,,,Fermentables,75,33
Caramel / Crystal 80L,America,,Crystal malt (Grain),,,,,Fermentables,80,33
Caramel / Crystal 90L,America,,Crystal malt (Grain),,,,,Fermentables,90,33
Caramel Pils,Belgium,,Crystal malt (Grain),,,,,Fermentables,8,34
Caramel Pils,Germany,,Crystal malt (Grain),,,,,Fermentables,2.4,35
Caramel Wheat,Germany,,Crystal malt (Grain),,,,,Fermentables,46,34
CaraMunich,Belgium,,Crystal malt (Grain),,,,,Fermentables,50,33
Elderberry,,,Fruit,,,,,Fermentables,0,2.75
CaraMunich I,Germany,,Crystal malt (Grain),,,,,Fermentables,39,34
CaraMunich II,Germany,,Crystal malt (Grain),,,,,Fermentables,46,34
CaraMunich III,Germany,,Crystal malt (Grain),,,,,Fermentables,57,34
Carapils,Germany,,Crystal malt (Grain),,,,,Fermentables,1.3,35
Fig,,,Fruit,,,,,Fermentables,0,5.3
Figs (dried),,,Fruit,,,,,Fermentables,0,29.95
Carapils (Dextrine Malt),America,,Crystal malt (Grain),,,,,Fermentables,1.8,33
CaraRed,Germany,,Crystal malt (Grain),,,,,Fermentables,20,34
Carastan (30/37),United Kingdom,,Crystal malt (Grain),,,,,Fermentables,34,35
Carastan Light (15L),United Kingdom,,Crystal malt (Grain),,,,,Fermentables,15,35
CaraVienne,Belgium,,Crystal malt (Grain),,,,,Fermentables,20,34
Crystal 140L,United Kingdom,,Crystal malt (Grain),,,,,Fermentables,140,33
Crystal 15L,United Kingdom,,Crystal malt (Grain),,,,,Fermentables,15,34
Crystal 30L,United Kingdom,,Crystal malt (Grain),,,,,Fermentables,30,34
Crystal 45L,United Kingdom,,Crystal malt (Grain),,,,,Fermentables,45,34
Crystal 50L,United Kingdom,,Crystal malt (Grain),,,,,Fermentables,50,34
Crystal 60L,United Kingdom,,Crystal malt (Grain),,,,,Fermentables,60,34
Gooseberry,,,Fruit,,,,,Fermentables,0,4.95
Grape,,,Fruit,,,,,Fermentables,0,7.15
"Grape, concord",,,Fruit,,,,,Fermentables,0,4
Grapefruit,,,Fruit,,,,,Fermentables,0,2.75
Crystal 70L,United Kingdom,,Crystal malt (Grain),,,,,Fermentables,70,34
Guanabana,,,Fruit,,,,,Fermentables,0,4
Guava,,,Fruit,,,,,Fermentables,0,2.8
Crystal 90L,United Kingdom,,Crystal malt (Grain),,,,,Fermentables,90,33
Honey,,,Sugar,,,,,Fermentables,2,42
Honey (Buckwheat),,,Sugar,,,,,Fermentables,2,42
Crystal Malt 100,Finland,,Crystal malt (Grain),,,,,Fermentables,38,35
Honeydew Melon,,,Fruit,,,,,Fermentables,0,4.5
Invert Sugar,,,Sugar,,,,,Fermentables,1,46
Jackfruit,,,Fruit,,,,,Fermentables,0,8.3
Kiwi,,,Fruit,,,,,Fermentables,0,5.75
Crystal Malt 150,Finland,,Crystal malt (Grain),,,,,Fermentables,57,35
Lactose (Milk Sugar),,,Sugar,,,,,Fermentables,1,41
Crystal Malt 250,Finland,,Crystal malt (Grain),,,,,Fermentables,94,35
Crystal Malt 300,Finland,,Crystal malt (Grain),,,,,Fermentables,113,35
Lemon juice,,,Fruit,,,,,Fermentables,0,1
Crystal Malt 50,Finland,,Crystal malt (Grain),,,,,Fermentables,19,35
Lime,,,Fruit,,,,,Fermentables,0,0.45
Lime juice,,,Fruit,,,,,Fermentables,0,0.45
Crystal Rye,United Kingdom,,Crystal malt (Grain),,,,,Fermentables,90,33
Dark Crystal 80L,United Kingdom,,Crystal malt (Grain),,,,,Fermentables,80,33
Dextrine Malt,United Kingdom,,Crystal malt (Grain),,,,,Fermentables,1.8,33
Extra Dark Crystal 120L,United Kingdom,,Crystal malt (Grain),,,,,Fermentables,120,33
Extra Dark Crystal 160L,United Kingdom,,Crystal malt (Grain),,,,,Fermentables,160,33
Dry Malt Extract - Amber,,,Extract (Dry Extract),,,,,Fermentables,10,42
Dry Malt Extract - Dark,,,Extract (Dry Extract),,,,,Fermentables,30,44
Dry Malt Extract - Extra Light,,,Extract (Dry Extract),,,,,Fermentables,2.5,42
Dry Malt Extract - Light,,,Extract (Dry Extract),,,,,Fermentables,4,42
Loganberry,,,Fruit,,,,,Fermentables,0,2.6
Lychee (Litchi),,,Fruit,,,,,Fermentables,0,7.65
Dry Malt Extract - Munich,,,Extract (Dry Extract),,,,,Fermentables,8,42
Maltodextrin,,,Sugar,,,,,Fermentables,0,39
Mango,,,Fruit,,,,,Fermentables,0,4.95
Maple Sap,,,Fruit,,,,,Fermentables,0,0.9
Maple Syrup,,,Fruit,,,,,Fermentables,0,29.8
Maple Syrup,,,Sugar,,,,,Fermentables,35,30
Dry Malt Extract - Pilsen,,,Extract (Dry Extract),,,,,Fermentables,2,42
Dry Malt Extract - Wheat,,,Extract (Dry Extract),,,,,Fermentables,3,42
Liquid Malt Extract - Amber,,,Extract (Dry Extract),,,,,Fermentables,10,35
Liquid Malt Extract - Dark,,,Extract (Liquid Extract),,,,,Fermentables,30,35
Liquid Malt Extract - Extra Light,,,Extract (Liquid Extract),,,,,Fermentables,2.5,37
Liquid Malt Extract - Light,,,Extract (Liquid Extract),,,,,Fermentables,4,35
Molasses,,,Sugar,,,,,Fermentables,80,36
Mulberry,,,Fruit,,,,,Fermentables,0,6.1
Liquid Malt Extract - Maris Otter,,,Extract (Liquid Extract),,,,,Fermentables,4,36
Liquid Malt Extract - Munich,,,Extract (Liquid Extract),,,,,Fermentables,8,35
Liquid Malt Extract - Pilsen,,,Extract (Liquid Extract),,,,,Fermentables,2,35
Liquid Malt Extract - Rye,,,Extract (Liquid Extract),,,,,Fermentables,9,35
Liquid Malt Extract - Wheat,,,Extract (Liquid Extract),,,,,Fermentables,3,35
Buckwheat Malt - Gluten Free,America,,Gluten-free malt (Grain),,,,,Fermentables,2,25
Crystal 10L Millet Malt - Gluten Free,America,,Gluten-free malt (Grain),,,,,Fermentables,10,25
Crystal 30L Millet Malt - Gluten Free,America,,Gluten-free malt (Grain),,,,,Fermentables,30,25
Dark Roasted Millet Malt - Gluten Free,America,,Gluten-free malt (Grain),,,,,Fermentables,300,25
Light Roasted Millet Malt - Gluten Free,America,,Gluten-free malt (Grain),,,,,Fermentables,7,25
Medium Roasted Millet Malt - Gluten Free,America,,Gluten-free malt (Grain),,,,,Fermentables,36,25
Nectarine,,,Fruit,,,,,Fermentables,0,3.4
Munich Millet Malt - Gluten Free,America,,Gluten-free malt (Grain),,,,,Fermentables,7,25
Pale Millet Malt - Gluten Free,America,,Gluten-free malt (Grain),,,,,Fermentables,1.5,30
Orange,,,Fruit,,,,,Fermentables,0,4.1
Orange (Blood Orange),,,Fruit,,,,,Fermentables,0,4.05
Orange juice,,,Fruit,,,,,Fermentables,0,4.8
Rice Hulls,,,Other (Grain),,,,,Fermentables,0,0
Flaked Barley,,,Raw (Adjunct),,,,,Fermentables,2.2,32
Flaked Corn,,,Raw (Adjunct),,,,,Fermentables,0.5,40
Flaked Oats,,,Raw (Adjunct),,,,,Fermentables,2.2,33
Flaked Rice,,,Raw (Adjunct),,,,,Fermentables,0.5,40
Flaked Rye,,,Raw (Adjunct),,,,,Fermentables,2.8,36
Flaked Wheat,,,Raw (Adjunct),,,,,Fermentables,2,34
Grits,,,Raw (Adjunct),,,,,Fermentables,1,37
Rolled Oats,,,Raw (Adjunct),,,,,Fermentables,2.2,33
Torrified Barley,,,Raw (Adjunct),,,,,Fermentables,2,36
Torrified Wheat,,,Raw (Adjunct),,,,,Fermentables,2,36
Rice Syrup Solids,,,Raw (Dry Extract),,,,,Fermentables,1,37
Golden Naked Oats,United Kingdom,,Raw (Grain),,,,,Fermentables,10,33
Unmalted Wheat,Belgium,,Raw (Grain),,,,,Fermentables,2,36
Papaya,,,Fruit,,,,,Fermentables,0,2.9
Passionfruit,,,Fruit,,,,,Fermentables,0,5
Peach,,,Fruit,,,,,Fermentables,0,4.05
Pear,,,Fruit,,,,,Fermentables,0,4.5
Aromatic,Belgium,,Roasted malt (Grain),,,,,Fermentables,38,33
Biscuit,Belgium,,Roasted malt (Grain),,,,,Fermentables,23,35
Persimmon,,,Fruit,,,,,Fermentables,0,6.3
Black Barley,America,,Roasted malt (Grain),,,,,Fermentables,530,27
Black Malt,America,,Roasted malt (Grain),,,,,Fermentables,500,28
Black Malt,Finland,,Roasted malt (Grain),,,,,Fermentables,526,30
Black Patent,United Kingdom,,Roasted malt (Grain),,,,,Fermentables,525,27
Blackprinz,America,,Roasted malt (Grain),,,,,Fermentables,500,36
Pineapple,,,Fruit,,,,,Fermentables,0,5.85
Plum,,,Fruit,,,,,Fermentables,0,4.95
Pomegranate,,,Fruit,,,,,Fermentables,0,5.2
Prickly Pear,,,Fruit,,,,,Fermentables,0,4.95
Prunes (dried),,,Fruit,,,,,Fermentables,0,19.8
Quince,,,Fruit,,,,,Fermentables,0,0.45
Raisins (dried),,,Fruit,,,,,Fermentables,0,29.25
Raspberry,,,Fruit,,,,,Fermentables,0,3.15
"Raspberry, black",,,Fruit,,,,,Fermentables,0,2.8
"Raspberry, red",,,Fruit,,,,,Fermentables,0,2.3
Brown,United Kingdom,,Roasted malt (Grain),,,,,Fermentables,65,32
CaraBrown,America,,Roasted malt (Grain),,,,,Fermentables,55,34
Rhubarb,,,Fruit,,,,,Fermentables,0,0.4
Carafa I,Germany,,Roasted malt (Grain),,,,,Fermentables,340,32
Carafa II,Germany,,Roasted malt (Grain),,,,,Fermentables,425,32
Carafa III,Germany,,Roasted malt (Grain),,,,,Fermentables,535,32
Chocolate,America,,Roasted malt (Grain),,,,,Fermentables,350,29
Chocolate,Belgium,,Roasted malt (Grain),,,,,Fermentables,340,30
Chocolate,United Kingdom,,Roasted malt (Grain),,,,,Fermentables,425,34
Chocolate Malt,Finland,,Roasted malt (Grain),,,,,Fermentables,338,31
Chocolate Rye,Germany,,Roasted malt (Grain),,,,,Fermentables,240,31
Chocolate Wheat,Germany,,Roasted malt (Grain),,,,,Fermentables,413,31
Coffee Malt,United Kingdom,,Roasted malt (Grain),,,,,Fermentables,150,36
Soft Candi Sugar - Blond,,,Sugar,,,,,Fermentables,5,38
Soft Candi Sugar - Brown,,,Sugar,,,,,Fermentables,60,38
Cookie Malt,Finland,,Roasted malt (Grain),,,,,Fermentables,19,37
Dark Ale,Finland,,Roasted malt (Grain),,,,,Fermentables,14,35
Dark Chocolate,America,,Roasted malt (Grain),,,,,Fermentables,420,29
De-Bittered Black,Belgium,,Roasted malt (Grain),,,,,Fermentables,566,34
Strawberry,,,Fruit,,,,,Fermentables,0,3.15
Sultanas,,,Fruit,,,,,Fermentables,0,8.55
Tangelo,,,Fruit,,,,,Fermentables,0,3.35
Tangerine,,,Fruit,,,,,Fermentables,0,2.95
Tomato,,,Fruit,,,,,Fermentables,0,1.25
De-Husked Caraf I,Germany,,Roasted malt (Grain),,,,,Fermentables,340,32
De-Husked Caraf II,Germany,,Roasted malt (Grain),,,,,Fermentables,418,32
Turbinado,,,Sugar,,,,,Fermentables,10,44
De-Husked Caraf III,Germany,,Roasted malt (Grain),,,,,Fermentables,470,32
Melanoid Malt,Finland,,Roasted malt (Grain),,,,,Fermentables,27,35
Melanoidin,Germany,,Roasted malt (Grain),,,,,Fermentables,25,37
Midnight Wheat Malt,America,,Roasted malt (Grain),,,,,Fermentables,550,33
Pale Chocolate,United Kingdom,,Roasted malt (Grain),,,,,Fermentables,207,33
Watermelon,,,Fruit,,,,,Fermentables,0,4.05
Roasted Barley,America,,Roasted malt (Grain),,,,,Fermentables,300,33
